tensor(0.1079, device='cuda:0')
tensor(0.1655, device='cuda:0')
tensor(0.1556, device='cuda:0')
tensor(0.0909, device='cuda:0')
tensor(0.1429, device='cuda:0')
tensor(0.1277, device='cuda:0')
tensor(0.1834, device='cuda:0')
tensor(0.1675, device='cuda:0')
tensor(0.1199, device='cuda:0')
tensor(0.1372, device='cuda:0')
tensor(0.1104, device='cuda:0')
tensor(0.2276, device='cuda:0')
tensor(0.1571, device='cuda:0')
tensor(0.1512, device='cuda:0')
tensor(0.1509, device='cuda:0')
tensor(0.2060, device='cuda:0')
tensor(0.1306, device='cuda:0')
tensor(0.1484, device='cuda:0')
tensor(0.1642, device='cuda:0')
tensor(0.1705, device='cuda:0')
tensor(0.1589, device='cuda:0')
tensor(0.1535, device='cuda:0')
tensor(0.1872, device='cuda:0')
tensor(0.1943, device='cuda:0')
tensor(0.1711, device='cuda:0')
tensor(0.1281, device='cuda:0')
tensor(0.1313, device='cuda:0')
tensor(0.1283, device='cuda:0')
tensor(0.1432, device='cuda:0')
tensor(0.1166, device='cuda:0')
tensor(0.2205, device='cuda:0')
tensor(0.1291, device='cuda:0')
tensor(0.1170, device='cuda:0')
tensor(0.1280, device='cuda:0')
tensor(0.1736, device='cuda:0')
tensor(0.1488, device='cuda:0')
tensor(0.1365, device='cuda:0')
tensor(0.0918, device='cuda:0')
tensor(0.1558, device='cuda:0')
tensor(0.1320, device='cuda:0')
tensor(0.1212, device='cuda:0')
tensor(0.1210, device='cuda:0')
tensor(0.1313, device='cuda:0')
tensor(0.1029, device='cuda:0')
tensor(0.2160, device='cuda:0')
tensor(0.2089, device='cuda:0')
tensor(0.1253, device='cuda:0')
tensor(0.1160, device='cuda:0')
tensor(0.1549, device='cuda:0')
tensor(0.1744, device='cuda:0')
tensor(0.1674, device='cuda:0')
tensor(0.1152, device='cuda:0')
tensor(0.1413, device='cuda:0')
tensor(0.2075, device='cuda:0')
tensor(0.1735, device='cuda:0')
tensor(0.1512, device='cuda:0')
tensor(0.1189, device='cuda:0')
tensor(0.2067, device='cuda:0')
tensor(0.1610, device='cuda:0')
tensor(0.1780, device='cuda:0')
tensor(0.1383, device='cuda:0')
tensor(0.2067, device='cuda:0')
tensor(0.1513, device='cuda:0')
tensor(0.1205, device='cuda:0')
tensor(0.1930, device='cuda:0')
tensor(0.1257, device='cuda:0')
tensor(0.1729, device='cuda:0')
tensor(0.1215, device='cuda:0')
tensor(0.1182, device='cuda:0')
tensor(0.1776, device='cuda:0')
tensor(0.1113, device='cuda:0')
tensor(0.1796, device='cuda:0')
tensor(0.1441, device='cuda:0')
tensor(0.1130, device='cuda:0')
tensor(0.1830, device='cuda:0')
tensor(0.1675, device='cuda:0')
tensor(0.1414, device='cuda:0')
tensor(0.1324, device='cuda:0')
tensor(0.1428, device='cuda:0')
tensor(0.1628, device='cuda:0')
tensor(0.1438, device='cuda:0')
tensor(0.2055, device='cuda:0')
tensor(0.1731, device='cuda:0')
tensor(0.1499, device='cuda:0')
tensor(0.1121, device='cuda:0')
tensor(0.1579, device='cuda:0')
tensor(0.1702, device='cuda:0')
tensor(0.1540, device='cuda:0')
tensor(0.1333, device='cuda:0')
tensor(0.1299, device='cuda:0')
tensor(0.1475, device='cuda:0')
tensor(0.1419, device='cuda:0')
tensor(0.2427, device='cuda:0')
tensor(0.1165, device='cuda:0')
tensor(0.1372, device='cuda:0')
tensor(0.1396, device='cuda:0')
tensor(0.1074, device='cuda:0')
tensor(0.1183, device='cuda:0')
tensor(0.1541, device='cuda:0')
tensor(0.1432, device='cuda:0')
tensor(0.1392, device='cuda:0')
tensor(0.2056, device='cuda:0')
tensor(0.1754, device='cuda:0')
tensor(0.1624, device='cuda:0')
tensor(0.1747, device='cuda:0')
tensor(0.1738, device='cuda:0')
tensor(0.1432, device='cuda:0')
tensor(0.1610, device='cuda:0')
tensor(0.2056, device='cuda:0')
tensor(0.1357, device='cuda:0')
tensor(0.1404, device='cuda:0')
tensor(0.1453, device='cuda:0')
tensor(0.1472, device='cuda:0')
tensor(0.1665, device='cuda:0')
tensor(0.1357, device='cuda:0')
tensor(0.1966, device='cuda:0')
tensor(0.1591, device='cuda:0')
tensor(0.1016, device='cuda:0')
tensor(0.1737, device='cuda:0')
tensor(0.1556, device='cuda:0')
tensor(0.1267, device='cuda:0')
tensor(0.1316, device='cuda:0')
tensor(0.1301, device='cuda:0')
tensor(0.1211, device='cuda:0')
tensor(0.1479, device='cuda:0')
tensor(0.1176, device='cuda:0')
tensor(0.1283, device='cuda:0')
tensor(0.1442, device='cuda:0')
tensor(0.1232, device='cuda:0')
tensor(0.1258, device='cuda:0')
tensor(0.1146, device='cuda:0')
tensor(0.1103, device='cuda:0')
tensor(0.1161, device='cuda:0')
tensor(0.1832, device='cuda:0')
tensor(0.1157, device='cuda:0')
tensor(0.1462, device='cuda:0')
tensor(0.1065, device='cuda:0')
tensor(0.1435, device='cuda:0')
tensor(0.1673, device='cuda:0')
tensor(0.1510, device='cuda:0')
tensor(0.1391, device='cuda:0')
tensor(0.1350, device='cuda:0')
tensor(0.1732, device='cuda:0')
tensor(0.1711, device='cuda:0')
tensor(0.1413, device='cuda:0')
tensor(0.1880, device='cuda:0')
tensor(0.1583, device='cuda:0')
tensor(0.1270, device='cuda:0')
tensor(0.1915, device='cuda:0')
tensor(0.1576, device='cuda:0')
tensor(0.1578, device='cuda:0')
tensor(0.1345, device='cuda:0')
tensor(0.1306, device='cuda:0')
